"Aerofoil.Aerofoil: Direction [1,0,0] (m)",Aerofoil.Aerofoil: Pressure Coefficient,Column1,Column2
0.1514475,258.9187419,0.99375,0.166714938
0.1514475,259.9255053,0.99375,0.167363182
0.14859,158.2167486,0.975,0.101874029
0.14859,156.6933326,0.975,0.100893118
0.14478,140.3372689,0.95,0.090361628
0.14478,140.8195116,0.95,0.090672139
0.14097,78.48887811,0.925,0.050538128
0.14097,78.33577907,0.925,0.050439549
0.1368425,38.37321657,0.897916667,0.024708093
0.1368425,38.09695774,0.897916667,0.024530213
0.13208,-10.1504825,0.866666667,-0.006535784
0.13208,-10.17829963,0.866666666,-0.006553695
0.127,-61.29191728,0.833333334,-0.039465193
0.127,-61.3932803,0.833333333,-0.03953046
0.12192,-110.4569044,0.8,-0.071121989
0.12192,-110.5271986,0.8,-0.071167251
0.11684,-146.4266198,0.766666667,-0.094282494
0.11684,-146.5609216,0.766666666,-0.09436897
0.11176,-190.5509827,0.733333334,-0.122693687
0.11176,-190.5875353,0.733333333,-0.122717223
0.10668,-233.0406696,0.7,-0.150052331
0.10668,-233.0372935,0.7,-0.150050157
0.1016,-263.0527785,0.666666667,-0.169376798
0.1016,-263.0347318,0.666666666,-0.169365178
0.09652,-306.1558754,0.633333334,-0.19713041
0.09652,-306.1429737,0.633333333,-0.197122102
0.09144,-348.004585,0.6,-0.224076335
0.09144,-347.9332752,0.6,-0.224030419
0.08636,-374.0660962,0.566666667,-0.240857056
0.08636,-374.0191541,0.566666666,-0.24082683
0.08128,-420.405612,0.533333334,-0.270694562
0.08128,-420.4045786,0.533333333,-0.270693896
0.0762,-464.7963633,0.5,-0.29927728
0.0762,-464.7518487,0.5,-0.299248617
0.07112,-485.2600454,0.466666667,-0.31245362
0.07112,-485.1996044,0.466666666,-0.312414703
0.06604,-537.2487091,0.433333334,-0.34592855
0.06604,-537.2433756,0.433333333,-0.345925116
0.06096,-585.7055335,0.4,-0.377129368
0.06096,-585.6254612,0.4,-0.37707781
0.05588,-592.39659,0.366666667,-0.381437666
0.05588,-592.2754908,0.366666666,-0.381359691
0.0508,-640.5986871,0.333333334,-0.412474467
0.0508,-640.3409405,0.333333333,-0.412308507
0.0460375,-707.0256522,0.302083333,-0.455246061
0.0460375,-706.788785,0.302083333,-0.455093545
0.04191,-741.9613769,0.275,-0.477740791
0.04191,-742.1242703,0.275,-0.477845677
0.0381,-761.9224113,0.25,-0.490593482
0.0381,-762.0550277,0.25,-0.490678873
0.03429,-787.2953385,0.225,-0.506930832
0.03429,-787.4800155,0.225,-0.507049743
0.03048,-807.2029942,0.2,-0.519749153
0.03048,-807.511153,0.2,-0.519947573
0.02667,-832.9345502,0.175,-0.53631742
0.02667,-833.275338,0.175,-0.536536849
0.02286,-835.3244576,0.15,-0.537856255
0.02286,-835.1129282,0.15,-0.537720053
0.01905,-819.4717726,0.125,-0.527648885
0.01905,-818.8315051,0.125,-0.527236624
0.01524,-880.807725,0.1,-0.567142432
0.01524,-879.1538628,0.1,-0.566077528
0.01143,-987.4208327,0.075,-0.635789442
0.01143,-987.0307116,0.075,-0.635538248
0.00714375,-664.777119,0.046875,-0.428042694
0.00714375,-665.9077845,0.046875,-0.428770717
0.0028575,683.9790095,0.01875,0.440406581
0.0028575,685.7691414,0.01875,0.441559227
4.76E-04,1553.062645,0.003125,1
4.76E-04,1548.922496,0.003125,0.997334203
